CMDLINE D:\Python\python.exe main.py
MEM 2.171875 1741276058.9726
MEM 20.050781 1741276059.0733
MEM 37.308594 1741276059.1740
MEM 53.734375 1741276059.2743
MEM 65.039062 1741276059.3750
MEM 113.398438 1741276059.4755
MEM 134.390625 1741276059.5759
MEM 106.121094 1741276059.6763
MEM 115.300781 1741276059.7769
MEM 124.839844 1741276059.8774
MEM 130.515625 1741276059.9781
MEM 136.339844 1741276060.0783
MEM 147.988281 1741276060.1789
MEM 153.792969 1741276060.2792
MEM 156.945312 1741276060.3795
MEM 157.058594 1741276060.4801
MEM 157.062500 1741276060.5805
